"Município";"Óbitos p/Residênc"
" MUNICIPIO IGNORADO - RO";19
"110001 ALTA FLORESTA D'OESTE";129
"110002 ARIQUEMES";590
"110003 CABIXI";38
"110004 CACOAL";576
"110005 CEREJEIRAS";132
"110006 COLORADO DO OESTE";132
"110007 CORUMBIARA";30
"110008 COSTA MARQUES";83
"110009 ESPIGAO D'OESTE";222
"110010 GUAJARA-MIRIM";227
"110011 JARU";340
"110012 JI-PARANA";845
"110013 MACHADINHO D'OESTE";187
"110014 NOVA BRASILANDIA D'OESTE";116
"110015 OURO PRETO DO OESTE";258
"110018 PIMENTA BUENO";221
"110020 PORTO VELHO";2801
"110025 PRESIDENTE MEDICI";157
"110026 RIO CRESPO";22
"110028 ROLIM DE MOURA";330
"110029 SANTA LUZIA D'OESTE";48
"110030 VILHENA";619
"110032 SAO MIGUEL DO GUAPORE";116
"110033 NOVA MAMORE";132
"110034 ALVORADA D'OESTE";109
"110037 ALTO ALEGRE DOS PARECIS";81
"110040 ALTO PARAISO";83
"110045 BURITIS";209
"110050 NOVO HORIZONTE DO OESTE";55
"110060 CACAULANDIA";32
"110070 CAMPO NOVO DE RONDONIA";50
"110080 CANDEIAS DO JAMARI";138
"110090 CASTANHEIRAS";19
"110092 CHUPINGUAIA";29
"110094 CUJUBIM";67
"110100 GOVERNADOR JORGE TEIXEIRA";52
"110110 ITAPUA DO OESTE";36
"110120 MINISTRO ANDREAZZA";44
"110130 MIRANTE DA SERRA";92
"110140 MONTE NEGRO";93
"110143 NOVA UNIAO";38
"110145 PARECIS";23
"110146 PIMENTEIRAS DO OESTE";16
"110147 PRIMAVERA DE RONDONIA";10
"110148 SAO FELIPE D'OESTE";35
"110149 SAO FRANCISCO DO GUAPORE";98
"110150 SERINGUEIRAS";67
"110155 TEIXEIROPOLIS";26
"110160 THEOBROMA";63
"110170 URUPA";76
"110175 VALE DO ANARI";42
"110180 VALE DO PARAISO";44
" MUNICIPIO IGNORADO - AC";1
"120001 ACRELANDIA";51
"120005 ASSIS BRASIL";48
"120010 BRASILEIA";149
"120013 BUJARI";52
"120017 CAPIXABA";54
"120020 CRUZEIRO DO SUL";470
"120025 EPITACIOLANDIA";120
"120030 FEIJO";165
"120032 JORDAO";13
"120033 MANCIO LIMA";79
"120034 MANOEL URBANO";56
"120035 MARECHAL THAUMATURGO";56
"120038 PLACIDO DE CASTRO";96
"120039 PORTO WALTER";22
"120040 RIO BRANCO";2027
"120042 RODRIGUES ALVES";54
"120043 SANTA ROSA DO PURUS";47
"120045 SENADOR GUIOMARD";122
"120050 SENA MADUREIRA";211
"120060 TARAUACA";206
"120070 XAPURI";86
"120080 PORTO ACRE";82
" MUNICIPIO IGNORADO - AM";11
"130002 ALVARAES";51
"130006 AMATURA";32
"130008 ANAMA";27
"130010 ANORI";62
"130014 APUI";85
"130020 ATALAIA DO NORTE";57
"130030 AUTAZES";165
"130040 BARCELOS";152
"130050 BARREIRINHA";133
"130060 BENJAMIN CONSTANT";143
"130063 BERURI";65
"130068 BOA VISTA DO RAMOS";75
"130070 BOCA DO ACRE";173
"130080 BORBA";157
"130083 CAAPIRANGA";31
"130090 CANUTAMA";41
"130100 CARAUARI";119
"130110 CAREIRO";144
"130115 CAREIRO DA VARZEA";68
"130120 COARI";383
"130130 CODAJAS";87
"130140 EIRUNEPE";185
"130150 ENVIRA";75
"130160 FONTE BOA";97
"130165 GUAJARA";66
"130170 HUMAITA";215
"130180 IPIXUNA";89
"130185 IRANDUBA";289
"130190 ITACOATIARA";472
"130195 ITAMARATI";31
"130200 ITAPIRANGA";49
"130210 JAPURA";26
"130220 JURUA";34
"130230 JUTAI";89
"130240 LABREA";190
"130250 MANACAPURU";498
"130255 MANAQUIRI";67
"130260 MANAUS";12282
"130270 MANICORE";178
"130280 MARAA";44
"130290 MAUES";243
